F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0     132       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ata_s
1 I     0     133       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md
1 I     0     134       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md_bi
1 I     0     135       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-edac-
1 I     0     137       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-devfr
1 S     0     138       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 I     0     140       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-quota
1 I     0     141       2  0  60 -20 -     0 -      ?        00:00:00 kworker/14:1H
1 S     0     143       2  0  80   0 -     0 -      ?        00:06:13 kswapd0
1 S     0     144       2  0  80   0 -     0 -      ?        00:02:06 kswapd1
1 S     0     145       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthread
1 I     0     146       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kthro
1 S     0     147       2  0   9   - -     0 -      ?        00:00:00 irq/24-pciehp
1 I     0     148       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-acpi_
1 I     0     157       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mld
1 I     0     158       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ipv6_
1 I     0     165       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kstrp
1 I     0     173       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u35:0-cqp_cmpl_wq
1 I     0     174       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u36:0
1 I     0     175       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u37:0
1 I     0     189       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-charg
1 I     0     212       2  0  60 -20 -     0 -      ?        00:00:02 kworker/0:1H-kblockd
1 I     0     216       2  0  60 -20 -     0 -      ?        00:00:01 kworker/4:1H-kblockd
1 I     0     217       2  0  60 -20 -     0 -      ?        00:00:02 kworker/8:1H-kblockd
